PWSID,PFOA,PFOS,exceeds_threshold(0.004*0.8),POPULATION_SERVED_COUNT,population_bin
AK2110342,0.0,0.0,False,38526.0,"10,001 - 50,000"
AK2110601,0.0,0.0,False,10947.0,"10,001 - 50,000"
AK2120232,0.0,0.0,False,8937.0,"3,301 - 10,000"
AK2130075,0.0,0.0,False,9448.0,"3,301 - 10,000"
AK2210605,0.0,0.0,False,794.0,"501 - 1,000"
AK2210906,0.0091,0.0,True,221351.0,"100,001 - 1,000,000"
AK2211423,0.0,0.0,False,19047.0,"10,001 - 50,000"
AK2212039,0.0,0.0,False,20284.0,"10,001 - 50,000"
AK2218653,0.0,0.0,False,60.0,25 to 100
AK2224646,0.0,0.0,False,18492.0,"10,001 - 50,000"
AK2226020,0.0,0.0,False,8111.0,"3,301 - 10,000"
AK2240448,0.0,0.0,False,5700.0,"3,301 - 10,000"
AK2240456,0.0,0.0,False,7008.0,"3,301 - 10,000"
AK2240757,0.0,0.0,False,3324.0,"3,301 - 10,000"
AK2241054,0.0,0.0,False,4807.0,"3,301 - 10,000"
AK2250011,0.0,0.0,False,9547.0,"3,301 - 10,000"
AK2260309,0.0,0.0,False,9400.0,"3,301 - 10,000"
AK2293205,0.0,0.0,False,2700.0,"1,001 - 3,300"
AK2298103,0.0,0.0,False,4500.0,"3,301 - 10,000"
AK2310675,0.0,0.0,False,4005.0,"3,301 - 10,000"
AK2310683,0.0,0.0,False,6200.0,"3,301 - 10,000"
AK2310730,0.0054,0.0,True,78324.0,"50,001 - 100,000"
AK2310900,0.0064,0.0,True,27000.0,"10,001 - 50,000"
AK2310918,0.0,0.0,False,20076.0,"10,001 - 50,000"
AK2320078,0.0,0.0463,True,4900.0,"3,301 - 10,000"
AK2370625,0.0,0.0,False,9760.0,"3,301 - 10,000"
AK2370798,0.0,0.0,False,60.0,25 to 100
AK2390594,0.0,0.0,False,4741.0,"3,301 - 10,000"
AL0000001,0.0,0.0,False,7710.0,"3,301 - 10,000"
AL0000013,0.0161,0.0202,True,8670.0,"3,301 - 10,000"
AL0000017,0.0192,0.0228,True,45444.0,"10,001 - 50,000"
AL0000023,0.0,0.011,True,28713.0,"10,001 - 50,000"
AL0000025,0.0045,0.0042,True,17268.0,"10,001 - 50,000"
AL0000029,0.0,0.0,False,33372.0,"10,001 - 50,000"
AL0000035,0.0051,0.013,True,59484.0,"50,001 - 100,000"
AL0000036,0.0,0.0,False,50919.0,"50,001 - 100,000"
AL0000048,0.0,0.0,False,10104.0,"10,001 - 50,000"
AL0000053,0.0,0.0,False,17796.0,"10,001 - 50,000"
AL0000061,0.0,0.0,False,13242.0,"10,001 - 50,000"
AL0000068,0.0,0.0,False,10161.0,"10,001 - 50,000"
AL0000076,0.0,0.0,False,6852.0,"3,301 - 10,000"
AL0000079,0.0,0.0,False,7056.0,"3,301 - 10,000"
AL0000083,0.0,0.0,False,2832.0,"1,001 - 3,300"
AL0000085,0.0,0.0,False,17970.0,"10,001 - 50,000"
AL0000089,0.0,0.0,False,660.0,"501 - 1,000"
AL0000091,0.0,0.0,False,6750.0,"3,301 - 10,000"
AL0000092,0.0,0.0,False,5985.0,"3,301 - 10,000"
AL0000093,0.0,0.0,False,8631.0,"3,301 - 10,000"
AL0000097,0.0,0.0,False,4629.0,"3,301 - 10,000"
AL0000100,0.0,0.0,False,4266.0,"3,301 - 10,000"
