PWSID,FacilityID,PFOA,PFOS,exceeds,POPULATION_SERVED_COUNT,Ep_Population,Population_bin
AK2110342,29349,0.0,0.0,False,38526.0,19263.0,"10,001 - 50,000"
AK2110342,29360,0.0,0.0,False,38526.0,19263.0,"10,001 - 50,000"
AK2110601,10001,0.0,0.0,False,10947.0,5473.5,"3,301 - 10,000"
AK2110601,10004,0.0,0.0,False,10947.0,5473.5,"3,301 - 10,000"
AK2120232,TP001,0.0,0.0,False,8937.0,8937.0,"3,301 - 10,000"
AK2130075,TP001,0.0,0.0,False,9448.0,9448.0,"3,301 - 10,000"
AK2210605,20001,0.0,0.0,False,794.0,794.0,"501 - 1,000"
AK2210906,32073,0.0,0.0,False,221351.0,20122.81818181818,"10,001 - 50,000"
AK2210906,32598,0.0,0.0,False,221351.0,20122.81818181818,"10,001 - 50,000"
AK2210906,32655,0.0,0.0,False,221351.0,20122.81818181818,"10,001 - 50,000"
AK2210906,46243,0.0,0.0,False,221351.0,20122.81818181818,"10,001 - 50,000"
AK2210906,47655,0.0,0.0,False,221351.0,20122.81818181818,"10,001 - 50,000"
AK2210906,47656,0.0,0.0,False,221351.0,20122.81818181818,"10,001 - 50,000"
AK2210906,47657,0.0,0.0,False,221351.0,20122.81818181818,"10,001 - 50,000"
AK2210906,47658,0.0,0.0,False,221351.0,20122.81818181818,"10,001 - 50,000"
AK2210906,47659,0.0,0.0,False,221351.0,20122.81818181818,"10,001 - 50,000"
AK2210906,47660,0.00455,0.0,True,221351.0,20122.81818181818,"10,001 - 50,000"
AK2210906,47661,0.0,0.0,False,221351.0,20122.81818181818,"10,001 - 50,000"
AK2211423,13925,0.0,0.0,False,19047.0,19047.0,"10,001 - 50,000"
AK2212039,00004,0.0,0.0,False,20284.0,10142.0,"10,001 - 50,000"
AK2212039,28008,0.0,0.0,False,20284.0,10142.0,"10,001 - 50,000"
AK2218653,TP001,0.0,0.0,False,60.0,60.0,25 - 100
AK2224646,32116,0.0,0.0,False,18492.0,3698.4,"3,301 - 10,000"
AK2224646,32450,0.0,0.0,False,18492.0,3698.4,"3,301 - 10,000"
AK2224646,48211,0.0,0.0,False,18492.0,3698.4,"3,301 - 10,000"
AK2224646,58212,0.0,0.0,False,18492.0,3698.4,"3,301 - 10,000"
AK2224646,78212,0.0,0.0,False,18492.0,3698.4,"3,301 - 10,000"
AK2226020,TP001,0.0,0.0,False,8111.0,4055.5,"3,301 - 10,000"
AK2226020,TP002,0.0,0.0,False,8111.0,4055.5,"3,301 - 10,000"
